location,date,new_cases
Batangas,2020-03-19,0
Batangas,2020-03-20,0
Batangas,2020-03-21,1
Batangas,2020-03-22,2
Batangas,2020-03-23,0
Batangas,2020-03-24,1
Batangas,2020-03-25,0
Batangas,2020-03-26,0
Batangas,2020-03-27,1
Batangas,2020-03-28,6
Batangas,2020-03-29,2
Batangas,2020-03-30,1
Batangas,2020-03-31,6
Batangas,2020-04-01,3
Batangas,2020-04-02,4
Batangas,2020-04-03,6
Batangas,2020-04-04,0
Batangas,2020-04-05,2
Batangas,2020-04-06,11
Batangas,2020-04-07,3
Batangas,2020-04-08,3
Batangas,2020-04-09,3
Batangas,2020-04-10,2
Batangas,2020-04-11,1
Batangas,2020-04-12,3
Batangas,2020-04-13,3
Batangas,2020-04-14,4
Batangas,2020-04-15,3
Batangas,2020-04-16,1
Batangas,2020-04-17,0
Batangas,2020-04-18,2
Batangas,2020-04-19,2
Batangas,2020-04-20,0
Batangas,2020-04-21,0
Batangas,2020-04-22,1
Batangas,2020-04-23,2
Batangas,2020-04-24,0
Batangas,2020-04-25,1
Batangas,2020-04-26,3
Batangas,2020-04-27,3
Batangas,2020-04-28,0
Batangas,2020-04-29,1
Batangas,2020-04-30,0
Batangas,2020-05-01,2
Batangas,2020-05-02,1
Batangas,2020-05-03,3
Batangas,2020-05-04,12
Batangas,2020-05-05,0
Batangas,2020-05-06,3
Batangas,2020-05-07,0
Batangas,2020-05-08,0
Batangas,2020-05-09,0
Batangas,2020-05-10,0
Batangas,2020-05-11,7
Batangas,2020-05-12,0
Batangas,2020-05-13,4
Batangas,2020-05-14,6
Batangas,2020-05-15,7
Benguet,2020-03-23,1
Benguet,2020-03-24,0
Benguet,2020-03-25,0
Benguet,2020-03-26,1
Benguet,2020-03-27,0
Benguet,2020-03-28,0
Benguet,2020-03-29,3
Benguet,2020-03-30,4
Benguet,2020-03-31,2
Benguet,2020-04-01,0
Benguet,2020-04-02,0
Benguet,2020-04-03,0
Benguet,2020-04-04,0
Benguet,2020-04-05,0
Benguet,2020-04-06,4
Benguet,2020-04-07,0
